iter	Passed	Remaining
401	8358	12433
402	8373	12404
403	8380	12362
404	8404	12347
405	8428	12331
406	8455	12320
407	8478	12301
408	8494	12273
409	8514	12252
410	8534	12231
411	8554	12209
412	8579	12193
413	8590	12158
414	8596	12118
415	8607	12083
416	8623	12055
417	8648	12041
418	8670	12022
419	8690	12001
420	8711	11980
421	8735	11964
422	8750	11936
423	8770	11915
424	8790	11893
425	8811	11873
426	8836	11857
427	8855	11835
428	8868	11804
429	8893	11788
430	8908	11760
431	8932	11745
432	8948	11717
433	8966	11693
434	8981	11665
435	8992	11632
436	9008	11605
437	9009	11560
438	9025	11533
439	9047	11514
440	9054	11477
441	9075	11457
442	9095	11436
443	9120	11421
444	9135	11394
445	9142	11356
446	9162	11335
447	9164	11291
448	9179	11265
449	9195	11238
450	9215	11217
451	9240	11202
452	9270	11194
453	9291	11174
454	9307	11148
455	9313	11111
456	9324	11079
457	9340	11053
458	9356	11027
459	9376	11007
460	9396	10986
461	9416	10965
462	9436	10944
463	9460	10928
464	9472	10898
465	9499	10885
466	9530	10876
467	9540	10844
468	9560	10824
469	9590	10814
470	9617	10801
471	9639	10783
472	9667	10771
473	9705	10769
474	9739	10765
475	9755	10738
476	9789	10733
477	9818	10722
478	9852	10716
479	9882	10705
480	9906	10688
481	9919	10660
482	9937	10636
483	9958	10616
484	9983	10601
485	10004	10580
486	10025	10560
487	10045	10539
488	10066	10518
489	10088	10499
490	10104	10475
491	10126	10455
492	10151	10439
493	10171	10418
494	10187	10392
495	10207	10371
496	10223	10346
497	10238	10320
498	10254	10295
499	10276	10276
500	10304	10263
501	10326	10244
502	10344	10221
503	10370	10205
504	10396	10190
505	10417	10170
506	10443	10154
507	10470	10140
508	10472	10102
509	10484	10072
510	10509	10057
511	10534	10040
512	10555	10020
513	10580	10004
514	10601	9984
515	10625	9966
516	10648	9947
517	10664	9923
518	10685	9903
519	10710	9886
520	10734	9869
521	10759	9852
522	10774	9827
523	10781	9793
524	10796	9768
525	10812	9743
526	10831	9721
527	10860	9708
528	10881	9688
529	10883	9651
530	10908	9634
531	10929	9614
532	10949	9593
533	10974	9577
534	10995	9556
535	11011	9531
536	11027	9507
537	11048	9487
538	11066	9465
539	11087	9444
540	11107	9424
541	11123	9399
542	11148	9383
543	11165	9358
544	11176	9330
545	11201	9313
546	11221	9292
547	11232	9264
548	11254	9245
549	11265	9217
550	11291	9201
551	11307	9176
552	11327	9156
553	11352	9139
554	11377	9122
555	11403	9106
556	11405	9071
557	11426	9051
558	11447	9031
559	11476	9017
560	11503	9001
561	11524	8981
562	11540	8957
563	11561	8937
564	11582	8917
565	11584	8882
566	11605	8862
567	11612	8832
568	11638	8815
569	11656	8793
570	11678	8774
571	11705	8758
572	11717	8732
573	11745	8716
574	11770	8699
575	11791	8679
576	11803	8652
577	11819	8629
578	11840	8609
579	11863	8590
580	11881	8568
581	11899	8546
582	11912	8520
583	11928	8497
584	11954	8480
585	11979	8463
586	12005	8446
587	12031	8430
588	12047	8406
589	12072	8389
590	12099	8373
591	12110	8346
592	12121	8319
593	12146	8302
594	12167	8281
595	12192	8264
596	12203	8237
597	12223	8217
598	12244	8196
599	12264	8176
600	12284	8155
601	12302	8133
602	12329	8117
603	12355	8100
604	12371	8077
605	12397	8060
606	12417	8039
607	12424	8010
608	12450	7993
